Sample #,Fx,Fy,Fz,Mx,My,Mz,RTA,RSO,LTA,LSO,GO
7006,0,0,0,0,0,0,-0.209794,-0.031011,-0.042091,-0.070483,0.001442
7007,0,0,0,0,0,0,0.059295,-0.024984,-0.10614,-0.079028,0.002052
7008,0,0,0,0,0,0,0.294166,-0.017241,-0.170303,-0.068232,0.001289
7009,0,0,0,0,0,0,0.548683,-0.002058,-0.201927,-0.024669,0.000145
7010,0,0,0,0,0,0,0.464876,0.014345,-0.190484,-0.015589,0.000908
7011,0,0,0,0,0,0,0.178203,0.014612,-0.180909,-0.013758,0.001289
7012,0,0,0,0,0,0,0.117052,-0.001638,-0.198799,-0.012423,0.001366
7013,0,0,0,0,0,0,0.160463,-0.008276,-0.206849,-0.006663,0.000793
7014,0,0,0,0,0,0,0.117624,-0.00572,-0.234391,0.001996,0.00209
7015,0,0,0,0,0,0,-0.092145,0.001909,-0.255104,0.015996,0.001785
7016,0,0,0,0,0,0,-0.062049,-0.051305,-0.216843,0.02046,0.002052
7017,0,0,0,0,0,0,0.056092,-0.087278,-0.200822,0.019163,0.002205
7018,0,0,0,0,0,0,0.124909,-0.104788,-0.180375,0.021986,0.000641
7019,0,0,0,0,0,0,0.014246,-0.103682,-0.170685,0.020727,0.001251
7020,0,0,0,0,0,0,-0.151998,-0.101049,-0.168168,0.007528,0.001747
7021,0,0,0,0,0,0,-0.200293,-0.091398,-0.159432,-0.004794,0.001747
7022,0,0,0,0,0,0,-0.390378,-0.082701,-0.130555,0.008443,0.000832
7023,0,0,0,0,0,0,-0.34159,-0.096624,-0.123231,0.007909,0.000908
7024,0,0,0,0,0,0,0.154127,-0.084684,-0.117699,0.013174,0.003006
7025,0,0,0,0,0,0,0.524497,-0.072821,-0.115029,0.001997,0.001442
7026,0,0,0,0,0,0,0.448549,-0.058935,-0.09462,-0.002123,0.001328
7027,0,0,0,0,0,0,0.510499,-0.037459,-0.095345,-0.010973,0.000412
7028,0,0,0,0,0,0,0.320415,-0.005148,-0.107895,0.004171,0.000832
7029,0,0,0,0,0,0,0.218638,0.009653,-0.105378,0.010656,0.001633
7030,0,0,0,0,0,0,0.218561,-0.009535,-0.092484,0.003713,0.001137
7031,0,0,0,0,0,0,0.101527,-0.00984,-0.089928,-0.001513,0.001709
7032,0,0,0,0,0,0,0.117586,-0.009039,-0.088059,0.000013,0.001633
7033,0,0,0,0,0,0,0.0115,-0.007742,-0.086571,0.001195,0.000298
7034,0,0,0,0,0,0,0.050752,-0.008772,-0.083634,0.00234,0.00087
7035,0,0,0,0,0,0,-0.007574,-0.008696,-0.081383,0.022558,0.002052
7036,0,0,0,0,0,0,-0.176336,-0.008238,-0.079857,-0.004488,0.001747
7037,0,0,0,0,0,0,-0.262777,0.039369,-0.09523,-0.004488,0.001976
7038,0,0,0,0,0,0,-0.326674,0.051805,-0.073563,-0.001627,-0.000923
7039,0,0,0,0,0,0,-0.244582,0.047037,-0.050828,-0.000292,0.002243
7040,0,0,0,0,0,0,-0.243475,0.043604,-0.074402,0.020727,0.002052
7041,0,0,0,0,0,0,-0.494938,0.057375,-0.085732,0.078023,0.001518
7042,0,0,0,0,0,0,-0.419219,0.041697,-0.090805,0.114186,0.007393
7043,0,0,0,0,0,0,0.096487,0.003283,-0.096337,0.120557,0.002014
7044,0,0,0,0,0,0,0.128076,-0.012014,-0.094735,0.148786,0.001862
7045,0,0,0,0,0,0,0.041369,-0.03208,-0.063073,0.182203,0.00148
7046,0,0,0,0,0,0,0.043504,-0.011213,-0.007569,0.17526,0.001366
7047,0,0,0,0,0,0,0.089624,0.015108,0.016387,0.148367,0.00106
7048,0,0,0,0,0,0,0.198418,0.021326,0.021804,0.186666,0.001595
7049,0,0,0,0,0,0,0.227487,0.015947,0.024742,0.17896,0.000565
7050,0,0,0,0,0,0,-0.019398,0.020105,0.005172,-0.038285,-0.000656
7051,0,0,0,0,0,0,-0.008833,0.017359,-0.000435,-0.245194,0.002281
7052,0,0,0,0,0,0,0.292411,-0.00366,0.006698,-0.38302,0.002205
7053,0,0,0,0,0,0,0.500885,-0.02857,-0.000359,-0.384776,0.002052
7054,0,0,0,0,0,0,0.554444,-0.017126,-0.010163,-0.280444,0.001137
7055,0,0,0,0,0,0,0.335902,-0.024336,-0.015847,-0.190761,0.002205
7056,0,0,0,0,0,0,-0.032482,0.003816,-0.020539,-0.16936,0.001556
7057,0,0,0,0,0,0,-0.531634,0.013163,-0.027901,-0.107142,0.001137
7058,0,0,0,0,0,0,-0.721417,0.003664,-0.03656,-0.025546,0.001823
7059,0,0,0,0,0,0,-0.098483,-0.004461,-0.025994,-0.039355,0.000603
7060,0,0,0,0,0,0,0.208488,-0.001448,-0.030495,-0.01887,0.002052
7061,0,0,0,0,0,0,0.133989,0.018122,-0.033547,0.074704,0.001518
7062,0,0,0,0,0,0,0.042437,0.012667,-0.02073,0.143521,0.000832
7063,0,0,0,0,0,0,0.013597,0.012171,-0.022522,0.14459,0.002663
7064,0,0,0,0,0,0,0.016458,0.011255,-0.02298,0.142873,0.002052
7065,0,0,0,0,0,0,0.01333,0.010759,-0.021531,0.136846,0.001556
7066,0,0,0,0,0,0,0.013444,0.009691,-0.022408,0.132841,0.004761
7067,0,0,0,0,0,0,0.012071,0.011026,-0.021454,0.129102,0.002357
7068,0,0,0,0,0,0,0.012224,0.010416,-0.021302,0.12647,0.001442
7069,0,0,0,0,0,0,0.056169,0.003817,-0.03019,0.026259,0.001251
7070,0,0,0,0,0,0,0.121018,-0.008009,-0.033394,-0.036226,0.000755
7071,0,0,0,0,0,0,0.153787,-0.022161,-0.009934,0.132725,0.001366
7072,0,0,0,0,0,0,0.087526,-0.028799,0.006889,0.186513,0.001747
7073,0,0,0,0,0,0,0.067194,-0.028875,0.012496,0.106176,0.002319
